Forward and Reverse id	Sample id
M009-4-wk-Tongue_S85_L001_R1_001.fastq	M009_4_wk_Tongue_L001-ds.3a6db03ebb244e1a84a0f7c0e8a0e5dd
M009-4-wk-Tongue_S85_L001_R2_001.fastq	M009_4_wk_Tongue_L001-ds.3a6db03ebb244e1a84a0f7c0e8a0e5dd
M009-4wk-S-22_S28_L001_R1_001.fastq	M009_4wk_S_22_L001-ds.5ef08c3cd0db425b8686712acc9dc10b
M009-4wk-S-22_S28_L001_R2_001.fastq	M009_4wk_S_22_L001-ds.5ef08c3cd0db425b8686712acc9dc10b
M009-4wk-US-13_S27_L001_R1_001.fastq	M009_4wk_US_13_L001-ds.5eb3a67cc1124d71a67f220ba0616793
M009-4wk-US-13_S27_L001_R2_001.fastq	M009_4wk_US_13_L001-ds.5eb3a67cc1124d71a67f220ba0616793
M009-baseline-RBM_S90_L001_R1_001.fastq	M009_baseline_RBM_L001-ds.232028beae78428782cd2cfe62916e78
M009-baseline-RBM_S90_L001_R2_001.fastq	M009_baseline_RBM_L001-ds.232028beae78428782cd2cfe62916e78
M009-baseline-TB_S91_L001_R1_001.fastq	M009_baseline_TB_L001-ds.f1d13bc7f2db496aa707fbd2601cf4ea
M009-baseline-TB_S91_L001_R2_001.fastq	M009_baseline_TB_L001-ds.f1d13bc7f2db496aa707fbd2601cf4ea
M009-BL-S-5_S29_L001_R1_001.fastq	M009_BL_S_5_L001-ds.07ba59f9115c4dbe9b93fc7b5424ee33
M009-BL-S-5_S29_L001_R2_001.fastq	M009_BL_S_5_L001-ds.07ba59f9115c4dbe9b93fc7b5424ee33
M009-BL-U-S-2_S30_L001_R1_001.fastq	M009_BL_U_S_2_L001-ds.ef532692db564e2693c97277f74f04d3
M009-BL-U-S-2_S30_L001_R2_001.fastq	M009_BL_U_S_2_L001-ds.ef532692db564e2693c97277f74f04d3
M009-L-buccal-mucosa-4-wk_S86_L001_R1_001.fastq	M009_L_buccal_mucosa_4_wk_L001-ds.214d05cc95e44b99b9d41f802fbc2e03
M009-L-buccal-mucosa-4-wk_S86_L001_R2_001.fastq	M009_L_buccal_mucosa_4_wk_L001-ds.214d05cc95e44b99b9d41f802fbc2e03
M009-LBM-baseline_S95_L001_R1_001.fastq	M009_LBM_baseline_L001-ds.3449ab8403944108a1cb81169c93000e
M009-LBM-baseline_S95_L001_R2_001.fastq	M009_LBM_baseline_L001-ds.3449ab8403944108a1cb81169c93000e
M009-Left-buccal-mucosa-2-wk_S87_L001_R1_001.fastq	M009_Left_buccal_mucosa_2_wk_L001-ds.3e046ee04c0941ae8d526ef871bd19bc
M009-Left-buccal-mucosa-2-wk_S87_L001_R2_001.fastq	M009_Left_buccal_mucosa_2_wk_L001-ds.3e046ee04c0941ae8d526ef871bd19bc
M009-R-Buccal-Mucosa-4-wk_S81_L001_R1_001.fastq	M009_R_Buccal_Mucosa_4_wk_L001-ds.5b630eeda5b7456ab65ffbddf193d11e
M009-R-Buccal-Mucosa-4-wk_S81_L001_R2_001.fastq	M009_R_Buccal_Mucosa_4_wk_L001-ds.5b630eeda5b7456ab65ffbddf193d11e
M009-Tongue-Dorsum-2-wk_S82_L001_R1_001.fastq	M009_Tongue_Dorsum_2_wk_L001-ds.39f971c985c14f648c672e033d595582
M009-Tongue-Dorsum-2-wk_S82_L001_R2_001.fastq	M009_Tongue_Dorsum_2_wk_L001-ds.39f971c985c14f648c672e033d595582
M010-2-wk-L-Buccal-Mucosa_S78_L001_R1_001.fastq	M010_2_wk_L_Buccal_Mucosa_L001-ds.f2433ea067ca4192b857fee63d40e5d9
M010-2-wk-L-Buccal-Mucosa_S78_L001_R2_001.fastq	M010_2_wk_L_Buccal_Mucosa_L001-ds.f2433ea067ca4192b857fee63d40e5d9
M010-2-wk-R-Buccal-Mucosa-3pm_S74_L001_R1_001.fastq	M010_2_wk_R_Buccal_Mucosa_3pm_L001-ds.3ea876f7deb3465695ff9e9d78756abc
